cx,cy
3.083333333333,-7.833333333333
3.083333333333,-6.833333333333
3.083333333333,-5.833333333333
3.083333333333,-4.833333333333
3.083333333333,-3.833333333333
3.083333333333,-2.833333333333
3.083333333333,-1.833333333333
3.083333333333,-0.833333333333
3.083333333333,0.166666666667
3.083333333333,1.166666666667
3.083333333333,2.166666666667
3.083333333333,3.166666666667
3.083333333333,4.166666666667
3.083333333333,5.166666666667
3.083333333333,6.166666666667
3.083333333333,7.166666666667
3.083333333333,8.166666666667
4.083333333333,-7.833333333333
4.083333333333,-6.833333333333
4.083333333333,-5.833333333333
4.083333333333,-4.833333333333
4.083333333333,-3.833333333333
4.083333333333,-2.833333333333
4.083333333333,-1.833333333333
4.083333333333,-0.833333333333
4.083333333333,0.166666666667
4.083333333333,1.166666666667
4.083333333333,2.166666666667
4.083333333333,3.166666666667
4.083333333333,4.166666666667
4.083333333333,5.166666666667
4.083333333333,6.166666666667
4.083333333333,7.166666666667
4.083333333333,8.166666666667
5.083333333333,-6.833333333333
5.083333333333,-5.833333333333
5.083333333333,-4.833333333333
5.083333333333,-3.833333333333
5.083333333333,-2.833333333333
5.083333333333,-1.833333333333
5.083333333333,-0.833333333333
5.083333333333,0.166666666667
5.083333333333,1.166666666667
5.083333333333,2.166666666667
5.083333333333,3.166666666667
5.083333333333,4.166666666667
5.083333333333,5.166666666667
5.083333333333,6.166666666667
5.083333333333,7.166666666667
6.083333333333,-6.833333333333
6.083333333333,-5.833333333333
6.083333333333,-4.833333333333
6.083333333333,-3.833333333333
6.083333333333,-2.833333333333
6.083333333333,-1.833333333333
6.083333333333,-0.833333333333
6.083333333333,0.166666666667
6.083333333333,1.166666666667
6.083333333333,2.166666666667
6.083333333333,3.166666666667
6.083333333333,4.166666666667
6.083333333333,5.166666666667
6.083333333333,6.166666666667
7.083333333333,-5.833333333333
7.083333333333,-4.833333333333
7.083333333333,-3.833333333333
7.083333333333,-2.833333333333
7.083333333333,-1.833333333333
7.083333333333,-0.833333333333
7.083333333333,0.166666666667
7.083333333333,1.166666666667
7.083333333333,2.166666666667
7.083333333333,3.166666666667
7.083333333333,4.166666666667
7.083333333333,5.166666666667
8.083333333333,-3.833333333333
8.083333333333,-2.833333333333
8.083333333333,-1.833333333333
8.083333333333,-0.833333333333
8.083333333333,0.166666666667
8.083333333333,1.166666666667
8.083333333333,2.166666666667
8.083333333333,3.166666666667
8.083333333333,4.166666666667
9.083333333333,-1.833333333333
9.083333333333,-0.833333333333
9.083333333333,0.166666666667
9.083333333333,1.166666666667
9.083333333333,2.166666666667
